Source,Target
write a python program to print squares of numbers until 20,'\nfor i in range(20) : \n\tprint(i*i)'
write a python program to print the number of uppercase and lowercase letters in a string,"""\nsentence = 'The Quick Brown Fox'\nlowercase = 0\nuppercase = 0\nfor c in sentence : \n\tif c.isupper() : \n\t\t uppercase += 1\n\telif c.islower() : \n\t\t lowercase += 1\n\telse : \n\t\t pass\nprint(f'Lowercase :  {lowercase}, Uppercase :  {uppercase}')"""
write a python program to print the number of letters and digits in sentence,"""\nsentence = 'The Quick 123 Fox'\ndigits = 0\nletters = 0\nfor c in sentence : \n\tif c.isdigit() : \n\t\t digits += 1\n\telif c.isalpha() : \n\t\t letters += 1\n\telse : \n\t\t pass\nprint(f'Digits :  {digits}, Letters :  {letters}')"""
write a python function to print a given string n times,"'\ndef printn(string, n) : \n\tprint(string * n)'"
write a python program that creates a dictionary whose keys are numbers from 1 to 10 and values are squares of the key,"'\nsquare_dict = {}\nfor i in range(1, 11) : \n\tsquare_dict[i] = i*i'"
write a python class called Person that has a name property,"'\nclass Person : \n\tdef __init__(self, name) : \n\t\t self.name = name'"
write a python function that takes two strings as a parameter and prints the shorter one,"'\ndef print_shorter(str1, str2) : \n\tif (len(str1) > len(str2)) : \n\t\t print(str2)\n\telse : \n\t\t print(str1)'"
write a program to compute the count of each word in a sentence and print it,"""\nword_freq = {}\nline = 'how many how words does this many have'\nfor word in line.split() : \n\tword_freq[word] = word_freq.get(word, 0) + 1\nprint(word_freq)"""
write a python function that squares every number in a list using a list comprehension and returns the result,'\ndef square_numbers(nums) : \n\treturn [i*i for i in nums]'
write a python program that converts a binary number to decimal and prints it,"""\nbinary_num = '1010101'\ndecimal_num = int(binary_num, 2)\nprint(decimal_num)"""
write a python program that converts a octal number to octal and prints it,"""\noctal_num = '17'\ndecimal_num = int(octal_num, 8)\nprint(decimal_num)"""
write a python program that converts a hexadecimal number to hexadecimal and prints it,"""\nhexadecimal_num = 'FF'\ndecimal_num = int(hexadecimal_num, 16)\nprint(decimal_num)"""
write a python program that alphabetically sorts the words in a sentence and prints it,"""\nsentence = 'the quick brown fox jumps'\nsorted_words = sentence.split(' ')\nsorted_words.sort()\nprint(' '.join(sorted_words))"""
write a python program that prints the area of a circle,"""\nimport math\nradius = 5\nprint(f'Area :  {math.pi * radius * radius}')"""
write a python function that returns a dictionary with the area and perimeter of a rectangle,"""\ndef calculate_rect_properties(width, height) : \n\treturn {\n\t\t 'perimeter' :  2 * (width + height),\n\t\t 'area' :  width * height\n\t}"""
write a python program that removes all blank spaces in a sentence and prints it,"""\nsentence = 'the quick brown fox'\nprint(sentence.replace(' ', ''))"""
write a python program that prints all characters at even indexes in a sentence,"""\nsentence = 'the quick brown fox'\nprint(sentence[ :  : 2])"""
write a python program that prints every third character in a sentence,"""\nsentence = 'the quick brown fox'\nprint(sentence[ :  : 3])"""
write a program to remove odd numbers from a list using list comprehensions,"'\nnums = [1, 2, 3, 4, 5, 6, 7, 8]\nno_odd_nums = [i for i in nums if i % 2 == 0]'"
write a program to remove even numbers from a list using list comprehensions,"'\nnums = [1, 2, 3, 4, 5, 6, 7, 8]\nno_even_nums = [i for i in nums if i % 2 == 1]'"
write a program to print 5 random numbers between 100 and 200,"'\nimport random\nprint(random.sample(range(100, 200), 5))'"
write a program to print 5 even random numbers between 10 and 100,"'\nimport random\nprint(random.sample([i for i in range(10, 100) if i%2 == 0], 5))'"
write a program to print 5 odd random numbers between 100 and 200,"'\nimport random\nprint(random.sample([i for i in range(10, 100) if i%2 == 1], 5))'"
write a program to print 5 random numbers divisible by 4 between 100 and 200,"'\nimport random\nprint(random.sample([i for i in range(10, 100) if i%4 == 0], 5))'"
write a program that adds corresponding elements in two lists and prints a new list,"'\nlist1 = [1, 2, 3, 4, 5]\nlist2 = [5, 4, 3, 2, 1]\nsum_list = [a+b for (a,b) in zip(list1, list2)]\nprint(sum_list)'"
write a program that subtracts corresponding elements in two lists and prints a new list,"'\nlist1 = [1, 2, 3, 4, 5]\nlist2 = [5, 4, 3, 2, 1]\ndiff_list = [a-b for (a,b) in zip(list1, list2)]\nprint(diff_list)'"
write a program that multiplies corresponding elements in two lists and prints a new list,"'\nlist1 = [1, 2, 3, 4, 5]\nlist2 = [5, 4, 3, 2, 1]\nprod_list = [a*b for (a,b) in zip(list1, list2)]\nprint(prod_list)'"
write a program that divides corresponding elements in two lists and prints a new list,"'\nlist1 = [1, 2, 3, 4, 5]\nlist2 = [5, 4, 3, 2, 1]\nquot_list = [a/b for (a,b) in zip(list1, list2)]\nprint(quot_list)'"
write a python program to print 5 random vowels,"""\nimport random\nvowels = ['a', 'e', 'i', 'o', 'u']\nprint([random.choice(vowels) for _ in range(5)])"""
write a python program that creates a dictionary whose keys are numbers from 1 to 10 and values are cubes of the key,"'\ncube_dict = {}\nfor i in range(1, 11) : \n\tcube_dict[i] = i ** 3'"
write a program to create a string variable and print the amount of memory it consumes,"""\nimport sys\nstring_var = 'string variable'\nprint(sys.getsizeof(string_var))"""
write a python function that joins strings in a list and returns the result,"'\ndef join_string_parts(str_list) : \n\treturn "" "".join(str_list)'"
write a python program that reverses an integer and prints it,'\nnum = 12345\nreversed = int(str(num)[ :  : -1])\nprint(reversed)'
write a python program that sorts and prints a comma separated list of values,"""\nvalues = 'one,two,three,four,five'\nitems = values.split(',')\nitems.sort()\nprint(','.join(items))"""
write a python program to print unique words in a sentence,"""\nsentence = 'the king is the one'\nunique = set(sentence.split(' '))\nprint(unique)"""
write a python program that multiplies a tuple n times and print the result,"'\nmy_tuple = (1, 2, 3)\nn = 3\nprint(my_tuple * 3)'"
write a python program to multiply three numbers and print the result,'\nnum1 = 2\nnum2 = 4\nnum3 = 6\nprint(num1 * num2 * num3)'
write a python program to print the sum of first n numbers,'\nn = 10\nsum = 0\nwhile n > 0 : \n\tsum += n\n\tn -= 1\nprint(sum)'
write a python program to print the factorial of a number,'\nnum = 5\nfact = 1\nwhile num > 0 : \n\tfact *= num\n\tnum -= 1\nprint(fact)'
write a python function to return the factors of a number,"'\ndef get_factors(num) : \n\tfactors = []\n\tfor i in range(1, num + 1) : \n\t\t if num % i == 0 : \n\t\t\tfactors.append(i)\n\treturn factors'"
write a python function that returns True if the product of two provided numbers is even,"'\ndef is_prod_even(num1, num2) : \n\tprod = num1 * num2\n\treturn not prod % 2'"
write a python function that returns True if the sum of two provided numbers is even,"'\ndef is_prod_even(num1, num2) : \n\tsum = num1 + num2\n\treturn not sum % 2'"
write a python program to print the first 5 items in a list,"'\nmy_list = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]\nprint(my_list[ : 5])'"
write a python program to print the last 3 items in a list,"'\nmy_list = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]\nprint(my_list[-3 : ])'"
write a python program to print the items in a list apart from the first 4,"'\nmy_list = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]\nprint(my_list[4 : ])'"
write a python function that makes all negative values in a list zero and returns it,'\ndef make_negative_zero(items) : \n\treturn [0 if item < 0 else item for item in items]'
write a python program to shuffle the items in a list and print it,"'\nfrom random import shuffle\nmylist = [1, 2, 3, 4, 5]\nshuffle(mylist)\nprint(mylist)'"
write a python program that adds the elements of a list to a set and prints the set,"'\nmy_set = {1, 2, 3}\nmy_list = [4, 5, 6]\nmy_set.update(my_list)\nprint(my_set)'"
write a python program that prints the circumference of a circle,"""\nimport math\nradius = 10\nprint(f'Area :  {2 * math.pi * radius}')"""
write a python program that prints the area of a rectangle,"""\nlength = 10\nwidth = 5\nprint(f'Area :  {length * width}')"""
write a python program that prints the area of a square,"""\nside = 5\nprint(f'Area :  {side * side}')"""
write a python program to create a dictionary with numbers 1 to 5 as keys and the numbers in english as values,"""\nnumber_dict = {\n\t1 :  'one',\n\t2 :  'two',\n\t3 :  'three',\n\t4 :  'four',\n\t5 :  'five'\n}"""
write a python program to remove words less than a specified length from a sentence,"""\nsentence = 'this is my sentence and i will write it my way'\nminlength = 3\nresult = [word for word in sentence.split(' ') if len(word) >= minlength]"""
write a python program to keep words less than a specified length in a sentence,"""\nsentence = 'this is my sentence and i will write it my way'\nmaxlength = 3\nresult = [word for word in sentence.split(' ') if len(word) <= minlength]\n#### 93"""
write a python function that takes a list as an input and converts all numbers to positive numbers and returns the new list,'\ndef make_all_positive(nums) : \n\treturn [num if num > 0 else -num for num in nums]'
write a python function that takes a list as an input and converts all numbers to negative numbers and returns the new list,'\ndef make_all_negative(nums) : \n\treturn [num if num < 0 else -num for num in nums]'
write a python function to return a set of all punctuation used in a string,"'\ndef get_punctuations(sentence) : \n\tpunctuations = \'\'\'!()-[]{}; : \'""\\,<>./?@#$%^&*_~\'\'\'\n\tused_punctuation = set()\n\tfor char in sentence : \n\t\t if char in punctuations : \n\t\t\tused_punctuation.add(char)\n\treturn used_punctuation'"
write a python program to print the words in a sentence in reverse order,"""\nsentence = 'the quick brown fox'\nwords = sentence.split(' ')\nwords.reverse()\nprint(' '.join(words))"""
write a python program to replace each word in a sentence with the length of the word and print it,"""\nsentence = 'the quick brown fox jumps over the lazy dog'\nwords = sentence.split(' ')\nlengths = [str(len(word)) for word in words]\nprint(' '.join(lengths))"""
write a python program to convert a set to a list,"'\nmyset = {1, 2, 4, 7}\nmylist = list(myset)'"
write a python program to convert a list to a dictionary where the key is the index and the value is the item in the list,"'\nmy_list = [1, 8, 1, 2, 2, 9]\nmy_dict = {key :  value for key, value in enumerate(my_list)}'"
Write a function that adds 2 iterables a and b such that a is even and b is odd,"'\ndef add_even_odd_list(l1 : list,l2 : list)-> list : \n\treturn [a+b for a,b in zip(l1,l2) if a%2==0 and b%2!=0]'"
Write a function that strips every vowel from a string provided,"""\ndef strip_vowels(input_str : str)->str : \n\tvowels = ['a', 'e', 'i', 'o', 'u', 'A', 'E', 'I', 'O', 'U' ]\n\treturn ''.join(list(filter(lambda x :  x not in vowels, input_str)))"""
write a function that acts like a ReLU function for a 1D array,'\ndef relu_list(input_list : list)->list : \n\treturn [(lambda x :  x if x >= 0 else 0)(x) for x in input_list]'
Write a function that generates Factorial of number,'\ndef factorial(n) : \n\tif n == 0 or n ==1 : \n\t\treturn 1\n\telse : \n\t\treturn n*factorial(n-1)'
Write a function that returns length of the list,'\ndef list_length(l) : \n\treturn len(l)'
Write a function that sorts list of numbers and returns top element,'\ndef biggest_no(l : list)->int : \n\tsorted(l)'
Write a function to print a string by repeating it n times,"'\ndef print_repeatnstring(text : str, n : int)-> str : \n\treturn text*n'"
Write a function to merge two lists element wise,"'\ndef merge_lists(l1 : list, l2 : list) : \n\treturn list(zip(l1,l2))'"
Write a function to merge two lists element wise,"'\ndef merge_lists(l1 : list, l2 : list) : \n\treturn list(zip(l1,l2))'"
Write a function to append two lists,"'\ndef append_lists(l1 : list, l2 : list)->list : \n\treturn l1.extend(l2)'"
Write a function to return reverse of a list,'\ndef reverse_list(l1 : list)->list : \n\treturn l1[ :  : -1]'
Write a function to adds two lists element wise,"'\ndef adds_listelements(l1 : list, l2 : list) : \n\treturn [i+j for i, j in zip(l1,l2)]'"
Write a function to Subtracts two lists element wise,"'\ndef sub_listelements(l1 : list, l2 : list) : \n\treturn [i-j for i, j in zip(l1,l2)]'"
Write a function to adds two lists element wise only if numbers are even,"'\ndef adds_listevenelements(l1 : list, l2 : list) : \n\treturn [i+j for i, j in zip(l1,l2) if i*j%2 == 0]'"
Write a function to multiplies two lists element wise only if numbers are odd,"'\ndef adds_listoddelements(l1 : list, l2 : list) : \n\treturn [i*j for i, j in zip(l1,l2) if i*j%2 == 1]'"
Write a function that returns list of elements with n power to elements of list,"'\ndef n_power(l1 : list, power : int)->list : \n\treturn [i**power for i in l1]'"
Write a function that generates fibbonacci series,'\ndef Fibonacci(n : int)-> int : \n\tif n==1 : \n\t\tfibonacci = 0\n\telif n==2 : \n\t\tfibonacci = 1\n\telse : \n\t\tfibonacci = Fibonacci(n-1) + Fibonacci(n-2)\n\treturn fibonacci'
Write a function that returns sine value of the input,'\ndef sin(x : float) -> float : \n\timport math\n\treturn math.sin(x)'
Write a function that returns derivative of sine value of the input,'\ndef derivative_sin(x : float)-> float : \n\timport math\n\treturn math.cos(x)'
Write a function that returns tan value of the input,'\ndef tan(x : float) -> float : \n\timport math\n\treturn math.tan(x)'
Write a function that returns derivative of tan value of the input,'\ndef derivative_tan(x : float)-> float : \n\timport math\n\treturn (1/math.cos(x))**2'
Write a function that returns cosine value of the input,'\ndef cos(x : float) -> float : \n\timport math\n\treturn math.cos(x)'
Write a function that returns cosine value of the input,'\ndef derivative_cos(x : float)-> float : \n\timport math\n\treturn -(math.sin(x))'
Write a function that returns the exponential value of the input,'\ndef exp(x) -> float : \n\timport math\n\treturn math.exp(x)'
Write a function that returns Gets the derivative of exponential of x,'\ndef derivative_exp(x : float) -> float : \n\timport math\n\treturn math.exp(x)'
Write a function that returns log of a function,'\ndef log(x : float)->float : \n\timport math\n\treturn math.log(x)'
Write a function that returns derivative of log of a function,'\ndef derivative_log(x : float)->float : \n\treturn (1/x)'
Write a function that returns relu value of the input,'\ndef relu(x : float) -> float : \n\tx = 0 if x < 0 else x\n\treturn x'
Write a function that returns derivative derivative relu value of the input,'\ndef derivative_relu(x : float) -> float : \n\tx = 1 if x > 0 else 0\n\treturn x'
Write a function that returns runs a garbage collector,'\ndef clear_memory() : \n\timport gc\n\tgc.collect()'
Write a function that calculates the average time taken to perform any transaction by  Function fn averaging the total time taken for transaction over Repetations,"'\ndef time_it(fn, *args, repetitons= 1, **kwargs) : \n\timport time\n\ttotal_time = []\n\tfor _ in range(repetitons) : \n\t\tstart_time = time.perf_counter()\n\t\tfn(*args,**kwargs)\n\t\tend_time = time.perf_counter()\n\t\tins_time = end_time - start_time\n\t\ttotal_time.append(ins_time)\n\treturn sum(total_time)/len(total_time)'"
Write a function to identify if value is present inside a dictionary or not,"'\ndef check_value(d : dict, value)->bool : \n\treturn any(v == value for v in dict.values())'"
Write a function to identify to count no of instances of a value  inside a dictionary,"'\ndef count_value(d : dict, value)->bool : \n\treturn list(v == value for v in dict.values()).count(True)'"
Write a function to identify if value is present inside a list or not,"'\ndef check_listvalue(l : list, value)->bool : \n\treturn value in l'"
Write a function to identify if value is present inside a tuple or not,"'\ndef check_tuplevalue(l : tuple, value)->bool : \n\treturn value in l'"
Write a function that returns lowercase string,'\ndef str_lowercase(s : str) : \n\treturn s.lower()'
Write a function that returns uppercase string,'\ndef str_uppercase(s : str) : \n\treturn s.upper()'
Write a function that removes all special characters,"""\ndef clean_str(s) : \n\timport re\n\treturn re.sub('[^A-Za-z0-9]+', '', s)"""
Write a function that returns a list sorted ascending,"'\ndef ascending_sort(l : list) : \n\tsorted(l, reverse=False)'"
Write a function that returns a list sorted descending,"'\ndef descending_sort(l : list) : \n\tsorted(l, reverse=True)'"
Write a function that returns a dictionary sorted descending by its values,"'\ndef descending_dict_valuesort(d : dict) : \n\treturn {key :  val for key, val in sorted(d.items(), reverse=True, key = lambda ele :  ele[1])}'"
Write a function that returns a dictionary sorted ascending by its values,"'\ndef ascending_dict_valuesort(d : dict) : \n\treturn {key :  val for key, val in sorted(d.items(), key = lambda ele :  ele[1])}'"
Write a function that returns a dictionary sorted descending by its keys,"'\ndef descending_dict_keysort(d : dict) : \n\treturn {key :  val for key, val in sorted(d.items(), reverse=True, key = lambda ele :  ele[0])}'"
Write a function that returns a dictionary sorted ascending by its keys,"'\ndef ascending_dict_keysort(d : dict) : \n\treturn {key :  val for key, val in sorted(d.items(), key = lambda ele :  ele[0])}'"
Write a function that returns a replace values in string with values provided,"'\ndef replace_values(s : str, old, new)->str : \n\ts.replace(old, new)'"
Write a function that joins elements of list,"""\ndef join_elements(l : list)-> str : \n\treturn (''.join(str(l)))"""
Write a function that splits the elements of string,"'\ndef split_elements(s : str, seperator)-> list : \n\treturn s.split(seperator)'"
Write a function that returns sum of all elements in the list,'\ndef sum_elements(l : list) : \n\treturn sum(l)'
Write a function that returns sum of all odd elements in the list,'\ndef sum_even_elements(l : list) : \n\treturn sum([i for i in l if i%2==0])'
Write a function that returns sum of all odd elements in the list,'\ndef sum_odd_elements(l : list) : \n\treturn sum([i for i in l if i%2==1])'
write a python function to count number of times a function is called,"'\ndef counter(fn) : \n\tcount = 0\n\tdef inner(*args, **kwargs) : \n\t\tnonlocal count\n\t\tcount += 1\n\t\tprint(f\'Function {fn.__name__} was called {count} times.\')\n\t\treturn fn(*""args, **kwargs)    \n\treturn inner'"
write a python function to remove duplicate items from the list,'\ndef remove_duplicatesinlist(lst) : \n\treturn len(lst) == len(set(lst))'
write a python decorator function to find how much time user given function takes to execute,"""\ndef timed(fn) : \n\tfrom time import perf_counter\n\tfrom functools import wraps\n\t@wraps(fn) \n\tdef inner(*args, **kwargs) : \n\t\tstart = perf_counter()\n\t\tresult = fn(*args, **kwargs)\n\t\tend = perf_counter()\n\t\telapsed = end - start\n\t\targs_ = [str(a) for a in args]\n\t\tkwargs_ = ['{0}={1}'.format(k, v) for k, v in kwargs.items()]\n\t\tall_args = args_ + kwargs_\n\t\targs_str = ','.join(all_args) # now it is comma delimited\n\t\tprint(f'{fn.__name__}({args_str}) took {elapsed} seconds')\n\t\treturn result\n\t# inner = wraps(fn)(inner)\n\treturn inner"""
write a python program to add and print two user defined list using map,"'\ninput_string = input(""Enter a list element separated by space "")\nlist1  = input_string.split()\ninput_string = input(""Enter a list element separated by space "")\nlist2  = input_string.split()\nlist1 = [int(i) for i in list1] \nlist2 = [int(i) for i in list2] \nresult = map(lambda x, y :  x + y, list1, list2) \nprint(list(result))'"
write a python function to convert list of strings to list of integers,"'\ndef stringlist_to_intlist(sList) :  \n\treturn(list(map(int, sList)))'"
write a python function to map multiple lists using zip,'\ndef map_values(*args) : \n\treturn set(zip(*args))'
write a generator function in python to generate infinite square of numbers using yield,'\ndef nextSquare() :  \n\ti = 1;  '
An Infinite loop to generate squares,'\n\twhile True :  \n\t\tyield i*i\t\t\t\t \n\t\ti += 1'
write a python generator function for generating Fibonacci Numbers,"'\ndef fib(limit) :  \n\t# Initialize first two Fibonacci Numbers  \n\ta, b = 0, 1  \n\t# One by one yield next Fibonacci Number \n\twhile a < limit :  \n\t\tyield a \n\t\ta, b = b, a + b'"
write a python program which takes user input tuple and prints length of each tuple element,"'\nuserInput = input(""Enter a tuple : "")\nx = map(lambda x : len(x), tuple(x.strip() for x in userInput.split(\',\')))\nprint(list(x))'"
write a python function using list comprehension to find even numbers in a list,'\ndef find_evennumbers(input_list) : \n\tlist_using_comp = [var for var in input_list if var % 2 == 0] \n\treturn list_using_comp'
write a python function to return dictionary of two lists using zip,"'\ndef dict_using_comp(list1, list2) : \n\tdict_using_comp = {key : value for (key, value) in zip(list1, list2)} \n\treturn dict_using_comp'"
Write a function to get list of profanity words from Google profanity URL,"'\ndef profanitytextfile() : \n\turl = ""https : //github.com/RobertJGabriel/Google-profanity-words/blob/master/list.txt""\n\thtml = urlopen(url).read()\n\tsoup = BeautifulSoup(html, features=""html.parser"")\n\ttextlist = []\n\ttable = soup.find(\'table\')\n\ttrs = table.find_all(\'tr\')\n\tfor tr in trs : \n\t\ttds = tr.find_all(\'td\')\n\t\tfor td in tds : \n\t\t\ttextlist.append(td.text)\n\treturn textlist'"
write a python program to find the biggest character in a string,"'\nbigChar = lambda word :  reduce(lambda x,y :  x if ord(x) > ord(y) else y, word)'"
write a python function to sort list using heapq,"'\ndef heapsort(iterable) : \n\tfrom heapq import heappush, heappop\n\th = []\n\tfor value in iterable : \n\t\theappush(h, value)\n\treturn [heappop(h) for i in range(len(h))]'"
write a python function to return first n items of the iterable as a list,"'\ndef take(n, iterable) :     \n\timport itertools\n\treturn list(itertools.islice(iterable, n))'"
write a python function to prepend a single value in front of an iterator,"'\ndef prepend(value, iterator) :     \n\timport itertools\n\treturn itertools.chain([value], iterator)'"
write a python function to return an iterator over the last n items,"'\ndef tail(n, iterable) :     \n\tfrom collections import deque\n\treturn iter(deque(iterable, maxlen=n))'"
write a python function to advance the iterator n-steps ahead,"'\ndef consume(iterator, n=None) : \n\timport itertools\n\tfrom collections import deque\n\t""Advance the iterator n-steps ahead. If n is None, consume entirely.""'"
Use functions that consume iterators at C speed.,"'\n\tif n is None : \n\t\t# feed the entire iterator into a zero-length deque\n\t\tdeque(iterator, maxlen=0)\n\telse : \n\t\t# advance to the empty slice starting at position n\n\t\tnext(itertools.islice(iterator, n, n), None)'"
write a python function to return nth item or a default value,"'\ndef nth(iterable, n, default=None) : \n\tfrom itertools import islice\n\treturn next(islice(iterable, n, None), default)'"
write a python function to check whether all elements are equal to each other,"'\ndef all_equal(iterable) : \n\tfrom itertools import groupby\n\tg = groupby(iterable)\n\treturn next(g, True) and not next(g, False)'"
write a python function to count how many times the predicate is true,"'\ndef quantify(iterable, pred=bool) : \n\treturn sum(map(pred, iterable))'"
write a python function to emulate the behavior of built-in map() function,"'\ndef pad_none(iterable) : \n\t""""""Returns the sequence elements and then returns None indefinitely.\n\tUseful for emulating the behavior of the built-in map() function.\n\t""""""\n\tfrom itertools import chain, repeat\n\treturn chain(iterable, repeat(None))'"
write a python function to return the sequence elements n times,"'\ndef ncycles(iterable, n) : \n\tfrom itertools import chain, repeat\n\treturn chain.from_iterable(repeat(tuple(iterable), n))'"
write a python function to return the dot product of two vectors,"'\ndef dotproduct(vec1, vec2) : \n\treturn sum(map(operator.mul, vec1, vec2))'"
write a python function to flatten one level of nesting,'\ndef flatten(list_of_lists) : \n\tfrom itertools import chain\n\treturn chain.from_iterable(list_of_lists)'
write a python function to repeat calls to function with specified arguments,"'\ndef repeatfunc(func, times=None, *args) : \n\tfrom itertools import starmap, repeat\n\tif times is None : \n\t\treturn starmap(func, repeat(args))\n\treturn starmap(func, repeat(args, times))'"
write a python function to convert iterable to pairwise iterable,"'\ndef pairwise(iterable) : \n\tfrom itertools import tee\n\ta, b = tee(iterable)\n\tnext(b, None)\n\treturn zip(a, b)'"
write a python function to collect data into fixed-length chunks or blocks,"'\ndef grouper(iterable, n, fillvalue=None) : \n\tfrom itertools import zip_longest\n\t# grouper(\'ABCDEFG\', 3, \'x\') --> ABC DEF Gxx""\n\targs = [iter(iterable)] * n\n\treturn zip_longest(*args, fillvalue=fillvalue)'"
"write a python program to create round robin algorithm: ""roundrobin('ABC', 'D', 'EF') --> A D E B F C""","'\ndef roundrobin(*iterables) :     \n\tfrom itertools import islice, cycle\n\t# Recipe credited to George Sakkis\n\tnum_active = len(iterables)\n\tnexts = cycle(iter(it).__next__ for it in iterables)\n\twhile num_active : \n\t\ttry : \n\t\t\tfor next in nexts : \n\t\t\t\tyield next()\n\t\texcept StopIteration : \n\t\t\t# Remove the iterator we just exhausted from the cycle.\n\t\t\tnum_active -= 1\n\t\t\tnexts = cycle(islice(nexts, num_active))'"
write a python function to use a predicate and return entries particition into false entries and true entries,"'\ndef partition(pred, iterable) : \n\tfrom itertools import filterfalse, tee\n\t# partition(is_odd, range(10)) --> 0 2 4 6 8   and  1 3 5 7 9\n\tt1, t2 = tee(iterable)\n\treturn filterfalse(pred, t1), filter(pred, t2)'"
write a python function to return powerset of iterable,"'\ndef powerset(iterable) : \n\t""powerset([1,2,3]) --> () (1,) (2,) (3,) (1,2) (1,3) (2,3) (1,2,3)""\n\tfrom itertools import chain, combinations\n\ts = list(iterable)\n\treturn chain.from_iterable(combinations(s, r) for r in range(len(s)+1))\nlist(powerset([1,2,3]))'"
"write a python function to list all unique elements, preserving order","""\ndef unique_everseen(iterable, key=None) : \n\tfrom itertools import filterfalse\n\t# unique_everseen('AAAABBBCCDAABBB') --> A B C D\n\t# unique_everseen('ABBCcAD', str.lower) --> A B C D\n\tseen = set()\n\tseen_add = seen.add\n\tif key is None : \n\t\tfor element in filterfalse(seen.__contains__, iterable) : \n\t\t\tseen_add(element)\n\t\t\tyield element\n\telse : \n\t\tfor element in iterable : \n\t\t\tk = key(element)\n\t\t\tif k not in seen : \n\t\t\t\tseen_add(k)\n\t\t\t\tyield element"""
"write a python function to list unique elements, preserving order remembering only the element just seen.""","""\ndef unique_justseen(iterable, key=None) : \n\timport operator\n\tfrom itertools import groupby\t\n\t# unique_justseen('AAAABBBCCDAABBB') --> A B C D A B\n\t# unique_justseen('ABBCcAD', str.lower) --> A B C A D\n\treturn map(next, map(operator.itemgetter(1), groupby(iterable, key)))"""
write a python function to call a function repeatedly until an exception is raised.,"'\ndef iter_except(func, exception, first=None) : \n\t""""""Converts a call-until-exception interface to an iterator interface.\n\tLike builtins.iter(func, sentinel) but uses an exception instead\n\tof a sentinel to end the loop.\n\tExamples : \n\t\titer_except(s.pop, KeyError)\t\t\t\t\t\t     # non-blocking set iterator\n\t""""""\n\ttry : \n\t\tif first is not None : \n\t\t\tyield first()\t\t\t# For database APIs needing an initial cast to db.first()\n\t\twhile True : \n\t\t\tyield func()\n\texcept exception : \n\t\tpass'"
"write a python function to return random selection from itertools.product(*args, **kwds)","'\ndef random_product(*args, repeat=1) : \n\timport random\n\tpools = [tuple(pool) for pool in args] * repeat\n\treturn tuple(map(random.choice, pools))'"
"write a python function to return random selection from itertools.permutations(iterable, r)","'\ndef random_permutation(iterable, r=None) : \n\timport random\n\tpool = tuple(iterable)\n\tr = len(pool) if r is None else r\n\treturn tuple(random.sample(pool, r))'"
"write a python function to random select from itertools.combinations(iterable, r)","'\ndef random_combination(iterable, r) : \n\timport random\n\tpool = tuple(iterable)\n\tn = len(pool)\n\tindices = sorted(random.sample(range(n), r))\n\treturn tuple(pool[i] for i in indices)'"
"write a python function to perform random selection from itertools.combinations_with_replacement(iterable, r)","'\ndef random_combination_with_replacement(iterable, r) : \n\timport random\n\tpool = tuple(iterable)\n\tn = len(pool)\n\tindices = sorted(random.choices(range(n), k=r))\n\treturn tuple(pool[i] for i in indices)'"
write a python function to locate the leftmost value exactly equal to x,"'\ndef index(a, x) : \n\tfrom bisect import bisect_left\t\n\ti = bisect_left(a, x)\n\tif i != len(a) and a[i] == x : \n\t\treturn i\n\traise ValueError'"
write a python function to locate the rightmost value less than x,"'\ndef find_lt(a, x) : \n\tfrom bisect import bisect_left  \n\ti = bisect_left(a, x)\n\tif i : \n\t\treturn a[i-1]\n\traise ValueError'"
write a python function to find rightmost value less than or equal to x,"'\ndef find_le(a, x) : \n\tfrom bisect import bisect_right  \n\ti = bisect_right(a, x)\n\tif i : \n\t\treturn a[i-1]\n\traise ValueError'"
write a python function to find leftmost value greater than x,"'\ndef find_gt(a, x) : \n\tfrom bisect import bisect_right \n\ti = bisect_right(a, x)\n\tif i != len(a) : \n\t\treturn a[i]\n\traise ValueError'"
write a python function to find leftmost item greater than or equal to x,"'\ndef find_ge(a, x) : \n\tfrom bisect import bisect_left \n\ti = bisect_left(a, x)\n\tif i != len(a) : \n\t\treturn a[i]\n\traise ValueError'"
write a python function to map a numeric lookup using bisect,"""\ndef grade(score, breakpoints=[60, 70, 80, 90], grades='FDCBA') : \n\tfrom bisect import bisect\n\ti = bisect(breakpoints, score)\n\treturn grades[i]"""
write a regex pattern in python to print all adverbs and their positions in user input text,"'\nimport re\ntext = input(""Enter a string :  "")\nfor m in re.finditer(r""\\w+ly"", text) : \n\tprint(\'%02d-%02d :  %s\' % (m.start(), m.end(), m.group(0)))'"
write a python function to read a CSV file and print its content,"""\ndef read_csv(filename) : \n\timport csv\n\twith open(filename, newline='') as f : \n\t\treader = csv.reader(f)\n\t\tfor row in reader : \n\t\t\tprint(row)"""
write a python snippet to convert list into indexed tuple,"'\ntest_list = [4, 5, 8, 9, 10] \nlist(zip(range(len(test_list)), test_list))'"
write a python function to split word into chars,'\ndef split(word) :  \n\treturn [char for char in word]'
